

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |t90_error|flux_64 |flux_64_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_phtflux|pflx_comp_phtflux_error|
|GRB100719311|20 19 28.8|-67 08 24|   1.600|    0.854|  3.8773|       0.8274|   5.659553e+02|           3.021436e+02|           3.021436e+02|  -9.745860e-01|           5.159215e-01|           5.159215e-01|     3.989892e+00|           9.883727e-01|
|GRB100722291|02 07 14.4|+56 13 48|   1.280|    0.905|  7.3979|       2.0888|               |                       |                       |               |                       |                       |                 |                       |
|GRB100805300|01 31 12.0|+34 11 24|   0.064|    0.072| 21.4849|       3.6175|   2.315572e+02|           3.056749e+01|           3.056749e+01|   1.098983e+00|           1.103681e+00|           1.103681e+00|     1.488668e+01|           2.951618e+00|
|GRB100811108|23 03 28.8|+15 51 36|   0.384|    0.091| 19.0257|       1.0013|   1.095389e+03|           1.890495e+02|           1.890495e+02|  -3.525440e-03|           1.901026e-01|           1.901026e-01|     1.853960e+01|           1.177241e+00|
|GRB100827455|12 55 36.0|+71 53 24|   0.576|    0.389| 19.1177|       1.2431|   8.222901e+02|           1.122832e+02|           1.122832e+02|  -2.042684e-01|           1.413271e-01|           1.413271e-01|     2.008094e+01|           1.182038e+00|
|GRB100929916|12 12 07.2|-24 56 24|   0.320|    0.143| 16.1451|       1.7726|   5.108411e+02|           1.139839e+02|           1.139839e+02|  -5.185915e-01|           2.153285e-01|           2.153285e-01|     1.650151e+01|           1.569394e+00|
|GRB101021063|00 01 50.4|+47 20 24|   1.536|    2.360|  4.0299|       0.9715|   5.221024e+03|           3.990664e+03|           3.990664e+03|  -1.002066e+00|           1.698866e-01|           1.698866e-01|     4.403366e+00|           9.481183e-01|
|GRB101026034|17 34 48.0|-00 22 12|   0.256|    0.091| 13.9883|       1.7483|   4.524891e+02|           1.446286e+02|           1.446286e+02|  -6.228758e-01|           2.521605e-01|           2.521605e-01|     1.227505e+01|           1.332110e+00|
|GRB101027230|05 16 04.8|+43 58 12|   1.344|    1.802|  5.4949|       1.1294|   2.431277e+02|           6.666933e+01|           6.666933e+01|  -9.285116e-02|           6.444427e-01|           6.444427e-01|     4.913796e+00|           9.418787e-01|
|GRB101031625|12 16 28.8|-07 28 12|   0.384|    0.462|  9.8161|       1.4660|   3.275499e+02|           7.350278e+01|           7.350278e+01|  -5.185654e-01|           3.104964e-01|           3.104964e-01|     1.090260e+01|           1.407880e+00|
|GRB101104810|10 44 04.8|-07 04 48|   1.280|    0.572|  5.1574|       0.9798|   6.281061e+02|           1.668370e+02|           1.668370e+02|  -1.923232e-01|           3.672121e-01|           3.672121e-01|     7.147233e+00|           8.952090e-01|
|GRB101116481|02 08 00.0|-81 12 00|   0.576|    0.820|  5.7566|       1.2772|   3.674395e+02|           9.333026e+01|           9.333026e+01|  -1.643557e-01|           3.964383e-01|           3.964383e-01|     6.428984e+00|           9.383940e-01|
|GRB101119685|15 05 57.6|+59 36 36|   0.640|    0.607|  4.3445|       1.6897|               |                       |                       |               |                       |                       |                 |                       |
|GRB101129652|10 31 00.0|-17 15 00|   0.384|    0.143| 10.6131|       1.3626|   1.195940e+03|           1.931197e+02|           1.931197e+02|  -1.068743e-01|           2.344158e-01|           2.344158e-01|     1.032402e+01|           9.339048e-01|
|GRB101129726|18 06 09.6|+01 00 36|   0.576|    0.202| 15.0540|       1.3035|   8.776862e+02|           3.132084e+02|           3.132084e+02|  -7.598397e-01|           1.579045e-01|           1.579045e-01|     1.565093e+01|           1.265636e+00|
